:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Tue Sep 29 20:09:38 MDT 2015
This is week number 12
Working with 12 remaining teams.  479,001,600 permutations.
0.2087675780% Iteration: 1,000,000. Elapsed: 4.073 seconds Best pick: Pick(iteration:689957, teams:[BAL, CAR, IND, STL, DET, SF, KC, NYG, JAX, OAK, MIN, NE], total:936.5)
0.4175351560% Iteration: 2,000,000. Elapsed: 6.913 seconds Best pick: Pick(iteration:689957, teams:[BAL, CAR, IND, STL, DET, SF, KC, NYG, JAX, OAK, MIN, NE], total:936.5)
0.6263027191% Iteration: 3,000,000. Elapsed: 9.664 seconds Best pick: Pick(iteration:689957, teams:[BAL, CAR, IND, STL, DET, SF, KC, NYG, JAX, OAK, MIN, NE], total:936.5)
0.8350703120% Iteration: 4,000,000. Elapsed: 12.554 seconds Best pick: Pick(iteration:3971123, teams:[BAL, DET, CAR, STL, MIN, SF, KC, NYG, JAX, OAK, IND, NE], total:-37.0)
1.0438379049% Iteration: 5,000,000. Elapsed: 15.789 seconds Best pick: Pick(iteration:4343789, teams:[BAL, DET, IND, STL, NYG, SF, CAR, KC, JAX, OAK, MIN, NE], total:-43.5)
1.2526054382% Iteration: 6,000,000. Elapsed: 19.092 seconds Best pick: Pick(iteration:4343789, teams:[BAL, DET, IND, STL, NYG, SF, CAR, KC, JAX, OAK, MIN, NE], total:-43.5)
1.4613729715% Iteration: 7,000,000. Elapsed: 22.370 seconds Best pick: Pick(iteration:4343789, teams:[BAL, DET, IND, STL, NYG, SF, CAR, KC, JAX, OAK, MIN, NE], total:-43.5)
1.6701406240% Iteration: 8,000,000. Elapsed: 25.654 seconds Best pick: Pick(iteration:7972589, teams:[BAL, IND, DET, STL, NYG, SF, CAR, KC, JAX, OAK, MIN, NE], total:-59.0)
1.8789080381% Iteration: 9,000,000. Elapsed: 28.958 seconds Best pick: Pick(iteration:7972589, teams:[BAL, IND, DET, STL, NYG, SF, CAR, KC, JAX, OAK, MIN, NE], total:-59.0)
2.0876758099% Iteration: 10,000,000. Elapsed: 32.263 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
2.2964432240% Iteration: 11,000,000. Elapsed: 35.594 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
2.5052108765% Iteration: 12,000,000. Elapsed: 38.982 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
2.7139785290% Iteration: 13,000,000. Elapsed: 42.314 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
2.9227459431% Iteration: 14,000,000. Elapsed: 45.667 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
3.1315135956% Iteration: 15,000,000. Elapsed: 49.021 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
3.3402812481% Iteration: 16,000,000. Elapsed: 52.359 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
3.5490486622% Iteration: 17,000,000. Elapsed: 55.642 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
3.7578160763% Iteration: 18,000,000. Elapsed: 58.946 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
3.9665837288% Iteration: 19,000,000. Elapsed: 1 minutes, 2.363 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
4.1753516197% Iteration: 20,000,000. Elapsed: 1 minutes, 5.737 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
4.3841190338% Iteration: 21,000,000. Elapsed: 1 minutes, 9.214 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
4.5928864479% Iteration: 22,000,000. Elapsed: 1 minutes, 12.520 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
4.8016538620% Iteration: 23,000,000. Elapsed: 1 minutes, 15.838 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
5.0104217529% Iteration: 24,000,000. Elapsed: 1 minutes, 19.165 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
5.2191891670% Iteration: 25,000,000. Elapsed: 1 minutes, 22.462 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
5.4279570580% Iteration: 26,000,000. Elapsed: 1 minutes, 25.759 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
5.6367244720% Iteration: 27,000,000. Elapsed: 1 minutes, 29.044 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
5.8454918861% Iteration: 28,000,000. Elapsed: 1 minutes, 32.296 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
6.0542593002% Iteration: 29,000,000. Elapsed: 1 minutes, 35.581 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
6.2630271912% Iteration: 30,000,000. Elapsed: 1 minutes, 38.879 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
6.4717950821% Iteration: 31,000,000. Elapsed: 1 minutes, 42.199 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
6.6805624962% Iteration: 32,000,000. Elapsed: 1 minutes, 45.458 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
6.8893299103% Iteration: 33,000,000. Elapsed: 1 minutes, 48.782 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
7.0980973244% Iteration: 34,000,000. Elapsed: 1 minutes, 52.063 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
7.3068647385% Iteration: 35,000,000. Elapsed: 1 minutes, 55.425 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
