:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Thu Oct 30 00:55:52 MDT 2014
This is week number 9
Working with 18 remaining teams.  6,402,373,705,728,000 permutations.
0.0000000156% Iteration: 1,000,000. Elapsed: 6.244 seconds Best pick: Pick(iteration:715017, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, JAX, MIA, STL, SD, SF, KC, NYG, NE, OAK, MIN, SEA], total:-50.0)
0.0000000312% Iteration: 2,000,000. Elapsed: 11.384 seconds Best pick: Pick(iteration:1077897, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, JAX, MIN, STL, SD, SF, KC, NYG, NE, OAK, MIA, SEA], total:-55.0)
0.0000000469% Iteration: 3,000,000. Elapsed: 16.458 seconds Best pick: Pick(iteration:1077897, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, JAX, MIN, STL, SD, SF, KC, NYG, NE, OAK, MIA, SEA], total:-55.0)
0.0000000625% Iteration: 4,000,000. Elapsed: 21.546 seconds Best pick: Pick(iteration:3961041, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, KC, JAX, STL, MIN, SF, NYG, SD, NE, OAK, MIA, SEA], total:-59.0)
0.0000000781% Iteration: 5,000,000. Elapsed: 26.613 seconds Best pick: Pick(iteration:4706931, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, KC, MIN, STL, SD, SF, NE, NYG, JAX, OAK, MIA, SEA], total:-63.5)
0.0000000937% Iteration: 6,000,000. Elapsed: 31.782 seconds Best pick: Pick(iteration:4706931, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, KC, MIN, STL, SD, SF, NE, NYG, JAX, OAK, MIA, SEA], total:-63.5)
0.0000001093% Iteration: 7,000,000. Elapsed: 36.930 seconds Best pick: Pick(iteration:4706931, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, KC, MIN, STL, SD, SF, NE, NYG, JAX, OAK, MIA, SEA], total:-63.5)
0.0000001250% Iteration: 8,000,000. Elapsed: 41.904 seconds Best pick: Pick(iteration:4706931, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, KC, MIN, STL, SD, SF, NE, NYG, JAX, OAK, MIA, SEA], total:-63.5)
0.0000001406% Iteration: 9,000,000. Elapsed: 46.819 seconds Best pick: Pick(iteration:4706931, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, KC, MIN, STL, SD, SF, NE, NYG, JAX, OAK, MIA, SEA], total:-63.5)
0.0000001562% Iteration: 10,000,000. Elapsed: 51.891 seconds Best pick: Pick(iteration:4706931, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, KC, MIN, STL, SD, SF, NE, NYG, JAX, OAK, MIA, SEA], total:-63.5)
0.0000001718% Iteration: 11,000,000. Elapsed: 56.879 seconds Best pick: Pick(iteration:4706931, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, KC, MIN, STL, SD, SF, NE, NYG, JAX, OAK, MIA, SEA], total:-63.5)
0.0000001874% Iteration: 12,000,000. Elapsed: 1 minutes, 1.839 seconds Best pick: Pick(iteration:4706931, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, KC, MIN, STL, SD, SF, NE, NYG, JAX, OAK, MIA, SEA], total:-63.5)
0.0000002030% Iteration: 13,000,000. Elapsed: 1 minutes, 6.791 seconds Best pick: Pick(iteration:12690171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, MIN, NYG, STL, SD, SF, KC, NE, JAX, OAK, MIA, SEA], total:-64.0)
0.0000002187% Iteration: 14,000,000. Elapsed: 1 minutes, 11.669 seconds Best pick: Pick(iteration:12690171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, MIN, NYG, STL, SD, SF, KC, NE, JAX, OAK, MIA, SEA], total:-64.0)
0.0000002343% Iteration: 15,000,000. Elapsed: 1 minutes, 16.536 seconds Best pick: Pick(iteration:12690171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, MIN, NYG, STL, SD, SF, KC, NE, JAX, OAK, MIA, SEA], total:-64.0)
0.0000002499% Iteration: 16,000,000. Elapsed: 1 minutes, 21.405 seconds Best pick: Pick(iteration:15956091, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, NE, MIN, STL, SD, SF, KC, NYG, JAX, OAK, MIA, SEA], total:-67.5)
0.0000002655% Iteration: 17,000,000. Elapsed: 1 minutes, 26.280 seconds Best pick: Pick(iteration:15956091, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, NE, MIN, STL, SD, SF, KC, NYG, JAX, OAK, MIA, SEA], total:-67.5)
0.0000002811% Iteration: 18,000,000. Elapsed: 1 minutes, 31.136 seconds Best pick: Pick(iteration:15956091, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, NE, MIN, STL, SD, SF, KC, NYG, JAX, OAK, MIA, SEA], total:-67.5)
0.0000002968% Iteration: 19,000,000. Elapsed: 1 minutes, 36.037 seconds Best pick: Pick(iteration:15956091, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, NE, MIN, STL, SD, SF, KC, NYG, JAX, OAK, MIA, SEA], total:-67.5)
0.0000003124% Iteration: 20,000,000. Elapsed: 1 minutes, 40.851 seconds Best pick: Pick(iteration:15956091, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, NE, MIN, STL, SD, SF, KC, NYG, JAX, OAK, MIA, SEA], total:-67.5)
0.0000003280% Iteration: 21,000,000. Elapsed: 1 minutes, 45.689 seconds Best pick: Pick(iteration:15956091, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, NE, MIN, STL, SD, SF, KC, NYG, JAX, OAK, MIA, SEA], total:-67.5)
0.0000003436% Iteration: 22,000,000. Elapsed: 1 minutes, 50.512 seconds Best pick: Pick(iteration:15956091, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, NE, MIN, STL, SD, SF, KC, NYG, JAX, OAK, MIA, SEA], total:-67.5)
