:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Thu Nov 12 01:00:13 MST 2015
This is week number 10
Working with 16 remaining teams.  20,922,789,888,000 permutations.
0.0000047795% Iteration: 1,000,000. Elapsed: 5.517 seconds Best pick: nfl.Pick(iteration:341633, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, TEN, MIA, SF, JAX, STL, OAK, PHI, HOU, IND], total:976.5)
0.0000095590% Iteration: 2,000,000. Elapsed: 8.933 seconds Best pick: nfl.Pick(iteration:1778033, teams:[ATL, BUF, CHI, CIN, CLE, DAL, MIA, TEN, GB, SF, JAX, STL, OAK, PHI, HOU, IND], total:974.5)
0.0000143384% Iteration: 3,000,000. Elapsed: 12.154 seconds Best pick: nfl.Pick(iteration:1778033, teams:[ATL, BUF, CHI, CIN, CLE, DAL, MIA, TEN, GB, SF, JAX, STL, OAK, PHI, HOU, IND], total:974.5)
0.0000191179% Iteration: 4,000,000. Elapsed: 15.398 seconds Best pick: nfl.Pick(iteration:3970433, teams:[ATL, BUF, CHI, CIN, CLE, GB, DAL, TEN, MIA, SF, JAX, STL, OAK, PHI, HOU, IND], total:969.0)
0.0000238974% Iteration: 5,000,000. Elapsed: 18.647 seconds Best pick: nfl.Pick(iteration:3970433, teams:[ATL, BUF, CHI, CIN, CLE, GB, DAL, TEN, MIA, SF, JAX, STL, OAK, PHI, HOU, IND], total:969.0)
0.0000286769% Iteration: 6,000,000. Elapsed: 21.875 seconds Best pick: nfl.Pick(iteration:5421953, teams:[ATL, BUF, CHI, CIN, CLE, GB, MIA, TEN, JAX, SF, IND, STL, OAK, PHI, DAL, HOU], total:964.0)
0.0000334563% Iteration: 7,000,000. Elapsed: 25.065 seconds Best pick: nfl.Pick(iteration:5421953, teams:[ATL, BUF, CHI, CIN, CLE, GB, MIA, TEN, JAX, SF, IND, STL, OAK, PHI, DAL, HOU], total:964.0)
0.0000382358% Iteration: 8,000,000. Elapsed: 28.926 seconds Best pick: nfl.Pick(iteration:5421953, teams:[ATL, BUF, CHI, CIN, CLE, GB, MIA, TEN, JAX, SF, IND, STL, OAK, PHI, DAL, HOU], total:964.0)
0.0000430153% Iteration: 9,000,000. Elapsed: 32.346 seconds Best pick: nfl.Pick(iteration:5421953, teams:[ATL, BUF, CHI, CIN, CLE, GB, MIA, TEN, JAX, SF, IND, STL, OAK, PHI, DAL, HOU], total:964.0)
0.0000477948% Iteration: 10,000,000. Elapsed: 35.695 seconds Best pick: nfl.Pick(iteration:5421953, teams:[ATL, BUF, CHI, CIN, CLE, GB, MIA, TEN, JAX, SF, IND, STL, OAK, PHI, DAL, HOU], total:964.0)
0.0000525743% Iteration: 11,000,000. Elapsed: 39.003 seconds Best pick: nfl.Pick(iteration:5421953, teams:[ATL, BUF, CHI, CIN, CLE, GB, MIA, TEN, JAX, SF, IND, STL, OAK, PHI, DAL, HOU], total:964.0)
0.0000573537% Iteration: 12,000,000. Elapsed: 42.433 seconds Best pick: nfl.Pick(iteration:5421953, teams:[ATL, BUF, CHI, CIN, CLE, GB, MIA, TEN, JAX, SF, IND, STL, OAK, PHI, DAL, HOU], total:964.0)
0.0000621332% Iteration: 13,000,000. Elapsed: 45.966 seconds Best pick: nfl.Pick(iteration:5421953, teams:[ATL, BUF, CHI, CIN, CLE, GB, MIA, TEN, JAX, SF, IND, STL, OAK, PHI, DAL, HOU], total:964.0)
0.0000669127% Iteration: 14,000,000. Elapsed: 49.761 seconds Best pick: nfl.Pick(iteration:5421953, teams:[ATL, BUF, CHI, CIN, CLE, GB, MIA, TEN, JAX, SF, IND, STL, OAK, PHI, DAL, HOU], total:964.0)
0.0000716922% Iteration: 15,000,000. Elapsed: 53.674 seconds Best pick: nfl.Pick(iteration:5421953, teams:[ATL, BUF, CHI, CIN, CLE, GB, MIA, TEN, JAX, SF, IND, STL, OAK, PHI, DAL, HOU], total:964.0)
0.0000764716% Iteration: 16,000,000. Elapsed: 57.157 seconds Best pick: nfl.Pick(iteration:5421953, teams:[ATL, BUF, CHI, CIN, CLE, GB, MIA, TEN, JAX, SF, IND, STL, OAK, PHI, DAL, HOU], total:964.0)
0.0000812511% Iteration: 17,000,000. Elapsed: 1 minutes, 1.366 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0000860306% Iteration: 18,000,000. Elapsed: 1 minutes, 4.953 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0000908101% Iteration: 19,000,000. Elapsed: 1 minutes, 8.784 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0000955895% Iteration: 20,000,000. Elapsed: 1 minutes, 12.272 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001003690% Iteration: 21,000,000. Elapsed: 1 minutes, 16.063 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001051485% Iteration: 22,000,000. Elapsed: 1 minutes, 19.868 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001099280% Iteration: 23,000,000. Elapsed: 1 minutes, 23.645 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001147075% Iteration: 24,000,000. Elapsed: 1 minutes, 27.010 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001194869% Iteration: 25,000,000. Elapsed: 1 minutes, 30.027 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001242664% Iteration: 26,000,000. Elapsed: 1 minutes, 33.036 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001290459% Iteration: 27,000,000. Elapsed: 1 minutes, 36.036 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001338254% Iteration: 28,000,000. Elapsed: 1 minutes, 39.075 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001386048% Iteration: 29,000,000. Elapsed: 1 minutes, 42.119 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001433843% Iteration: 30,000,000. Elapsed: 1 minutes, 45.143 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001481638% Iteration: 31,000,000. Elapsed: 1 minutes, 48.209 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001529433% Iteration: 32,000,000. Elapsed: 1 minutes, 51.238 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001577228% Iteration: 33,000,000. Elapsed: 1 minutes, 54.257 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001625022% Iteration: 34,000,000. Elapsed: 1 minutes, 57.260 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001672817% Iteration: 35,000,000. Elapsed: 2 minutes, 0.687 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0001720612% Iteration: 36,000,000. Elapsed: 2 minutes, 4.177 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
