:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Wed Nov 18 23:13:46 MST 2015
This is week number 11
Working with 14 remaining teams.  87,178,291,200 permutations.
0.0011470745% Iteration: 1,000,000. Elapsed: 3.894 seconds Best pick: nfl.Pick(iteration:704513, teams:[ATL, BUF, CHI, CLE, GB, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-21.0)
0.0022941490% Iteration: 2,000,000. Elapsed: 6.856 seconds Best pick: nfl.Pick(iteration:704513, teams:[ATL, BUF, CHI, CLE, GB, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-21.0)
0.0034412239% Iteration: 3,000,000. Elapsed: 9.631 seconds Best pick: nfl.Pick(iteration:704513, teams:[ATL, BUF, CHI, CLE, GB, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-21.0)
0.0045882980% Iteration: 4,000,000. Elapsed: 12.405 seconds Best pick: nfl.Pick(iteration:704513, teams:[ATL, BUF, CHI, CLE, GB, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-21.0)
0.0057353731% Iteration: 5,000,000. Elapsed: 15.206 seconds Best pick: nfl.Pick(iteration:704513, teams:[ATL, BUF, CHI, CLE, GB, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-21.0)
0.0068824477% Iteration: 6,000,000. Elapsed: 17.994 seconds Best pick: nfl.Pick(iteration:704513, teams:[ATL, BUF, CHI, CLE, GB, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-21.0)
0.0080295224% Iteration: 7,000,000. Elapsed: 20.805 seconds Best pick: nfl.Pick(iteration:704513, teams:[ATL, BUF, CHI, CLE, GB, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-21.0)
0.0091765961% Iteration: 8,000,000. Elapsed: 23.603 seconds Best pick: nfl.Pick(iteration:7944705, teams:[ATL, BUF, CHI, GB, DAL, TEN, CLE, JAX, IND, STL, MIA, PHI, HOU, SF], total:-22.5)
0.0103236707% Iteration: 9,000,000. Elapsed: 26.410 seconds Best pick: nfl.Pick(iteration:8873609, teams:[ATL, BUF, CHI, GB, JAX, MIA, CLE, SF, IND, STL, PHI, TEN, DAL, HOU], total:-23.0)
0.0114707462% Iteration: 10,000,000. Elapsed: 29.244 seconds Best pick: nfl.Pick(iteration:9397073, teams:[ATL, BUF, CHI, GB, MIA, TEN, CLE, JAX, IND, STL, PHI, SF, DAL, HOU], total:-26.5)
0.0126178199% Iteration: 11,000,000. Elapsed: 32.070 seconds Best pick: nfl.Pick(iteration:9397073, teams:[ATL, BUF, CHI, GB, MIA, TEN, CLE, JAX, IND, STL, PHI, SF, DAL, HOU], total:-26.5)
0.0137648955% Iteration: 12,000,000. Elapsed: 34.924 seconds Best pick: nfl.Pick(iteration:9397073, teams:[ATL, BUF, CHI, GB, MIA, TEN, CLE, JAX, IND, STL, PHI, SF, DAL, HOU], total:-26.5)
0.0149119692% Iteration: 13,000,000. Elapsed: 37.761 seconds Best pick: nfl.Pick(iteration:9397073, teams:[ATL, BUF, CHI, GB, MIA, TEN, CLE, JAX, IND, STL, PHI, SF, DAL, HOU], total:-26.5)
0.0160590447% Iteration: 14,000,000. Elapsed: 40.605 seconds Best pick: nfl.Pick(iteration:9397073, teams:[ATL, BUF, CHI, GB, MIA, TEN, CLE, JAX, IND, STL, PHI, SF, DAL, HOU], total:-26.5)
0.0172061194% Iteration: 15,000,000. Elapsed: 43.418 seconds Best pick: nfl.Pick(iteration:9397073, teams:[ATL, BUF, CHI, GB, MIA, TEN, CLE, JAX, IND, STL, PHI, SF, DAL, HOU], total:-26.5)
0.0183531921% Iteration: 16,000,000. Elapsed: 46.380 seconds Best pick: nfl.Pick(iteration:9397073, teams:[ATL, BUF, CHI, GB, MIA, TEN, CLE, JAX, IND, STL, PHI, SF, DAL, HOU], total:-26.5)
0.0195002686% Iteration: 17,000,000. Elapsed: 49.217 seconds Best pick: nfl.Pick(iteration:9397073, teams:[ATL, BUF, CHI, GB, MIA, TEN, CLE, JAX, IND, STL, PHI, SF, DAL, HOU], total:-26.5)
0.0206473414% Iteration: 18,000,000. Elapsed: 52.066 seconds Best pick: nfl.Pick(iteration:9397073, teams:[ATL, BUF, CHI, GB, MIA, TEN, CLE, JAX, IND, STL, PHI, SF, DAL, HOU], total:-26.5)
0.0217944160% Iteration: 19,000,000. Elapsed: 54.963 seconds Best pick: nfl.Pick(iteration:9397073, teams:[ATL, BUF, CHI, GB, MIA, TEN, CLE, JAX, IND, STL, PHI, SF, DAL, HOU], total:-26.5)
0.0229414925% Iteration: 20,000,000. Elapsed: 57.818 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0240885653% Iteration: 21,000,000. Elapsed: 1 minutes, 0.667 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0252356399% Iteration: 22,000,000. Elapsed: 1 minutes, 3.504 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0263827145% Iteration: 23,000,000. Elapsed: 1 minutes, 6.329 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0275297910% Iteration: 24,000,000. Elapsed: 1 minutes, 9.182 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0286768619% Iteration: 25,000,000. Elapsed: 1 minutes, 12.045 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0298239384% Iteration: 26,000,000. Elapsed: 1 minutes, 14.906 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0309710130% Iteration: 27,000,000. Elapsed: 1 minutes, 17.863 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0321180895% Iteration: 28,000,000. Elapsed: 1 minutes, 20.804 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0332651623% Iteration: 29,000,000. Elapsed: 1 minutes, 24.259 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0344122387% Iteration: 30,000,000. Elapsed: 1 minutes, 28.076 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0355593115% Iteration: 31,000,000. Elapsed: 1 minutes, 31.293 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0367063843% Iteration: 32,000,000. Elapsed: 1 minutes, 34.762 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0378534608% Iteration: 33,000,000. Elapsed: 1 minutes, 38.066 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0390005372% Iteration: 34,000,000. Elapsed: 1 minutes, 41.276 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0401476100% Iteration: 35,000,000. Elapsed: 1 minutes, 44.339 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0412946828% Iteration: 36,000,000. Elapsed: 1 minutes, 47.398 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0424417593% Iteration: 37,000,000. Elapsed: 1 minutes, 50.351 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0435888320% Iteration: 38,000,000. Elapsed: 1 minutes, 53.340 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0447359085% Iteration: 39,000,000. Elapsed: 1 minutes, 56.245 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
