:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Wed Nov 25 00:41:58 MST 2015
This is week number 12
Working with 12 remaining teams.  479,001,600 permutations.
0.2087675780% Iteration: 1,000,000. Elapsed: 3.636 seconds Best pick: nfl.Pick(iteration:323633, teams:[ATL, BUF, CHI, TEN, CLE, GB, IND, STL, MIA, SF, DAL, HOU], total:-29.5)
0.4175351560% Iteration: 2,000,000. Elapsed: 6.268 seconds Best pick: nfl.Pick(iteration:323633, teams:[ATL, BUF, CHI, TEN, CLE, GB, IND, STL, MIA, SF, DAL, HOU], total:-29.5)
0.6263027191% Iteration: 3,000,000. Elapsed: 8.708 seconds Best pick: nfl.Pick(iteration:323633, teams:[ATL, BUF, CHI, TEN, CLE, GB, IND, STL, MIA, SF, DAL, HOU], total:-29.5)
0.8350703120% Iteration: 4,000,000. Elapsed: 11.106 seconds Best pick: nfl.Pick(iteration:323633, teams:[ATL, BUF, CHI, TEN, CLE, GB, IND, STL, MIA, SF, DAL, HOU], total:-29.5)
1.0438379049% Iteration: 5,000,000. Elapsed: 13.558 seconds Best pick: nfl.Pick(iteration:323633, teams:[ATL, BUF, CHI, TEN, CLE, GB, IND, STL, MIA, SF, DAL, HOU], total:-29.5)
1.2526054382% Iteration: 6,000,000. Elapsed: 16.019 seconds Best pick: nfl.Pick(iteration:323633, teams:[ATL, BUF, CHI, TEN, CLE, GB, IND, STL, MIA, SF, DAL, HOU], total:-29.5)
1.4613729715% Iteration: 7,000,000. Elapsed: 18.466 seconds Best pick: nfl.Pick(iteration:323633, teams:[ATL, BUF, CHI, TEN, CLE, GB, IND, STL, MIA, SF, DAL, HOU], total:-29.5)
1.6701406240% Iteration: 8,000,000. Elapsed: 20.912 seconds Best pick: nfl.Pick(iteration:7956827, teams:[ATL, CLE, CHI, TEN, GB, SF, BUF, STL, HOU, MIA, DAL, IND], total:-36.0)
1.8789080381% Iteration: 9,000,000. Elapsed: 23.366 seconds Best pick: nfl.Pick(iteration:7956827, teams:[ATL, CLE, CHI, TEN, GB, SF, BUF, STL, HOU, MIA, DAL, IND], total:-36.0)
2.0876758099% Iteration: 10,000,000. Elapsed: 25.822 seconds Best pick: nfl.Pick(iteration:7956827, teams:[ATL, CLE, CHI, TEN, GB, SF, BUF, STL, HOU, MIA, DAL, IND], total:-36.0)
2.2964432240% Iteration: 11,000,000. Elapsed: 28.301 seconds Best pick: nfl.Pick(iteration:7956827, teams:[ATL, CLE, CHI, TEN, GB, SF, BUF, STL, HOU, MIA, DAL, IND], total:-36.0)
2.5052108765% Iteration: 12,000,000. Elapsed: 30.766 seconds Best pick: nfl.Pick(iteration:7956827, teams:[ATL, CLE, CHI, TEN, GB, SF, BUF, STL, HOU, MIA, DAL, IND], total:-36.0)
2.7139785290% Iteration: 13,000,000. Elapsed: 33.241 seconds Best pick: nfl.Pick(iteration:7956827, teams:[ATL, CLE, CHI, TEN, GB, SF, BUF, STL, HOU, MIA, DAL, IND], total:-36.0)
2.9227459431% Iteration: 14,000,000. Elapsed: 35.708 seconds Best pick: nfl.Pick(iteration:7956827, teams:[ATL, CLE, CHI, TEN, GB, SF, BUF, STL, HOU, MIA, DAL, IND], total:-36.0)
3.1315135956% Iteration: 15,000,000. Elapsed: 38.175 seconds Best pick: nfl.Pick(iteration:14838113, teams:[ATL, GB, BUF, TEN, CHI, CLE, IND, STL, MIA, SF, DAL, HOU], total:-38.5)
3.3402812481% Iteration: 16,000,000. Elapsed: 40.655 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
3.5490486622% Iteration: 17,000,000. Elapsed: 43.140 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
3.7578160763% Iteration: 18,000,000. Elapsed: 45.612 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
3.9665837288% Iteration: 19,000,000. Elapsed: 48.059 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
4.1753516197% Iteration: 20,000,000. Elapsed: 50.540 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
4.3841190338% Iteration: 21,000,000. Elapsed: 53.006 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
4.5928864479% Iteration: 22,000,000. Elapsed: 55.489 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
4.8016538620% Iteration: 23,000,000. Elapsed: 58.012 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
5.0104217529% Iteration: 24,000,000. Elapsed: 1 minutes, 0.513 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
5.2191891670% Iteration: 25,000,000. Elapsed: 1 minutes, 3.017 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
5.4279570580% Iteration: 26,000,000. Elapsed: 1 minutes, 5.487 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
5.6367244720% Iteration: 27,000,000. Elapsed: 1 minutes, 7.975 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
5.8454918861% Iteration: 28,000,000. Elapsed: 1 minutes, 10.476 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
6.0542593002% Iteration: 29,000,000. Elapsed: 1 minutes, 12.973 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
6.2630271912% Iteration: 30,000,000. Elapsed: 1 minutes, 15.498 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
6.4717950821% Iteration: 31,000,000. Elapsed: 1 minutes, 17.983 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
6.6805624962% Iteration: 32,000,000. Elapsed: 1 minutes, 20.461 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
6.8893299103% Iteration: 33,000,000. Elapsed: 1 minutes, 22.915 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
7.0980973244% Iteration: 34,000,000. Elapsed: 1 minutes, 25.407 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
7.3068647385% Iteration: 35,000,000. Elapsed: 1 minutes, 27.915 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
7.5156321526% Iteration: 36,000,000. Elapsed: 1 minutes, 30.442 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
7.7244000435% Iteration: 37,000,000. Elapsed: 1 minutes, 32.924 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
7.9331674576% Iteration: 38,000,000. Elapsed: 1 minutes, 35.411 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
8.1419353485% Iteration: 39,000,000. Elapsed: 1 minutes, 37.894 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
8.3507032394% Iteration: 40,000,000. Elapsed: 1 minutes, 40.383 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
8.5594701767% Iteration: 41,000,000. Elapsed: 1 minutes, 42.800 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
8.7682380676% Iteration: 42,000,000. Elapsed: 1 minutes, 45.237 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
8.9770059586% Iteration: 43,000,000. Elapsed: 1 minutes, 47.679 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
9.1857728958% Iteration: 44,000,000. Elapsed: 1 minutes, 50.115 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
9.3945407867% Iteration: 45,000,000. Elapsed: 1 minutes, 52.554 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
