:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Wed Oct 14 21:52:06 MDT 2015
This is week number 6
Working with 24 remaining teams.  620,448,401,733,239,439,360,000 permutations.
0.0000000000% Iteration: 1,000,000. Elapsed: 7.120 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 2,000,000. Elapsed: 12.427 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 3,000,000. Elapsed: 17.754 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 4,000,000. Elapsed: 23.300 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 5,000,000. Elapsed: 29.077 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 6,000,000. Elapsed: 34.273 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 7,000,000. Elapsed: 39.487 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 8,000,000. Elapsed: 44.689 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 9,000,000. Elapsed: 49.870 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 10,000,000. Elapsed: 55.070 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 11,000,000. Elapsed: 1 minutes, 0.318 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 12,000,000. Elapsed: 1 minutes, 5.999 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 13,000,000. Elapsed: 1 minutes, 11.426 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 14,000,000. Elapsed: 1 minutes, 16.675 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 15,000,000. Elapsed: 1 minutes, 21.937 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 16,000,000. Elapsed: 1 minutes, 27.145 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 17,000,000. Elapsed: 1 minutes, 32.366 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 18,000,000. Elapsed: 1 minutes, 37.568 seconds Best pick: nfl.Pick(iteration:290977, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, TEN, NYJ, STL, MIN, WAS, OAK, PHI, PIT, SF], total:-37.5)
0.0000000000% Iteration: 19,000,000. Elapsed: 1 minutes, 42.821 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 20,000,000. Elapsed: 1 minutes, 48.004 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
