:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Tue Oct 20 22:10:52 MDT 2015
This is week number 7
Working with 22 remaining teams.  1,124,000,727,777,607,680,000 permutations.
0.0000000000% Iteration: 1,000,000. Elapsed: 6.913 seconds Best pick: nfl.Pick(iteration:654577, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, MIA, TEN, NYJ, WAS, JAX, STL, OAK, PHI, PIT, SF], total:967.5)
0.0000000000% Iteration: 2,000,000. Elapsed: 12.540 seconds Best pick: nfl.Pick(iteration:1385377, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, OAK, TEN, NYJ, WAS, JAX, STL, MIA, PHI, PIT, SF], total:966.0)
0.0000000000% Iteration: 3,000,000. Elapsed: 17.651 seconds Best pick: nfl.Pick(iteration:1385377, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, OAK, TEN, NYJ, WAS, JAX, STL, MIA, PHI, PIT, SF], total:966.0)
0.0000000000% Iteration: 4,000,000. Elapsed: 22.621 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 5,000,000. Elapsed: 27.861 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 6,000,000. Elapsed: 33.128 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 7,000,000. Elapsed: 38.130 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 8,000,000. Elapsed: 43.477 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 9,000,000. Elapsed: 48.775 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 10,000,000. Elapsed: 53.662 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 11,000,000. Elapsed: 58.526 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 12,000,000. Elapsed: 1 minutes, 3.398 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 13,000,000. Elapsed: 1 minutes, 8.353 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 14,000,000. Elapsed: 1 minutes, 13.248 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 15,000,000. Elapsed: 1 minutes, 18.097 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 16,000,000. Elapsed: 1 minutes, 22.986 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 17,000,000. Elapsed: 1 minutes, 27.897 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 18,000,000. Elapsed: 1 minutes, 32.773 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 19,000,000. Elapsed: 1 minutes, 37.839 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 20,000,000. Elapsed: 1 minutes, 43.129 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 21,000,000. Elapsed: 1 minutes, 48.619 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 22,000,000. Elapsed: 1 minutes, 53.859 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
