:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Thu Oct 29 12:58:28 MDT 2015
This is week number 8
Working with 20 remaining teams.  2,432,902,008,176,640,000 permutations.
0.0000000000% Iteration: 1,000,000. Elapsed: 6.689 seconds Best pick: nfl.Pick(iteration:691297, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, JAX, TEN, MIA, NYJ, IND, STL, OAK, PHI, PIT, SF], total:939.0)
0.0000000001% Iteration: 2,000,000. Elapsed: 11.769 seconds Best pick: nfl.Pick(iteration:1054177, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, MIA, TEN, JAX, NYJ, IND, STL, OAK, PHI, PIT, SF], total:938.0)
0.0000000001% Iteration: 3,000,000. Elapsed: 16.692 seconds Best pick: nfl.Pick(iteration:1054177, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, MIA, TEN, JAX, NYJ, IND, STL, OAK, PHI, PIT, SF], total:938.0)
0.0000000002% Iteration: 4,000,000. Elapsed: 21.561 seconds Best pick: nfl.Pick(iteration:1054177, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, MIA, TEN, JAX, NYJ, IND, STL, OAK, PHI, PIT, SF], total:938.0)
0.0000000002% Iteration: 5,000,000. Elapsed: 26.433 seconds Best pick: nfl.Pick(iteration:4691025, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, MIA, TEN, NYJ, SF, JAX, STL, OAK, PHI, HOU, PIT], total:937.5)
0.0000000002% Iteration: 6,000,000. Elapsed: 31.451 seconds Best pick: nfl.Pick(iteration:4691025, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, MIA, TEN, NYJ, SF, JAX, STL, OAK, PHI, HOU, PIT], total:937.5)
0.0000000003% Iteration: 7,000,000. Elapsed: 36.457 seconds Best pick: nfl.Pick(iteration:6140385, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, PIT, TEN, MIA, NYJ, JAX, STL, OAK, PHI, HOU, SF], total:936.5)
0.0000000003% Iteration: 8,000,000. Elapsed: 41.512 seconds Best pick: nfl.Pick(iteration:6140385, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, PIT, TEN, MIA, NYJ, JAX, STL, OAK, PHI, HOU, SF], total:936.5)
0.0000000004% Iteration: 9,000,000. Elapsed: 46.757 seconds Best pick: nfl.Pick(iteration:6140385, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, PIT, TEN, MIA, NYJ, JAX, STL, OAK, PHI, HOU, SF], total:936.5)
0.0000000004% Iteration: 10,000,000. Elapsed: 51.919 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000005% Iteration: 11,000,000. Elapsed: 57.185 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000005% Iteration: 12,000,000. Elapsed: 1 minutes, 2.280 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000005% Iteration: 13,000,000. Elapsed: 1 minutes, 7.377 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000006% Iteration: 14,000,000. Elapsed: 1 minutes, 12.527 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000006% Iteration: 15,000,000. Elapsed: 1 minutes, 18.133 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000007% Iteration: 16,000,000. Elapsed: 1 minutes, 23.627 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000007% Iteration: 17,000,000. Elapsed: 1 minutes, 28.733 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000007% Iteration: 18,000,000. Elapsed: 1 minutes, 33.757 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000008% Iteration: 19,000,000. Elapsed: 1 minutes, 38.857 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000008% Iteration: 20,000,000. Elapsed: 1 minutes, 43.874 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000009% Iteration: 21,000,000. Elapsed: 1 minutes, 48.855 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000009% Iteration: 22,000,000. Elapsed: 1 minutes, 53.880 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000009% Iteration: 23,000,000. Elapsed: 1 minutes, 58.887 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000010% Iteration: 24,000,000. Elapsed: 2 minutes, 4.013 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000010% Iteration: 25,000,000. Elapsed: 2 minutes, 9.032 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000011% Iteration: 26,000,000. Elapsed: 2 minutes, 14.149 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000011% Iteration: 27,000,000. Elapsed: 2 minutes, 19.236 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000012% Iteration: 28,000,000. Elapsed: 2 minutes, 24.297 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000012% Iteration: 29,000,000. Elapsed: 2 minutes, 29.361 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000012% Iteration: 30,000,000. Elapsed: 2 minutes, 34.470 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000013% Iteration: 31,000,000. Elapsed: 2 minutes, 39.589 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000013% Iteration: 32,000,000. Elapsed: 2 minutes, 44.690 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000014% Iteration: 33,000,000. Elapsed: 2 minutes, 49.744 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000014% Iteration: 34,000,000. Elapsed: 2 minutes, 54.841 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000014% Iteration: 35,000,000. Elapsed: 2 minutes, 59.947 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000015% Iteration: 36,000,000. Elapsed: 3 minutes, 5.040 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000015% Iteration: 37,000,000. Elapsed: 3 minutes, 10.089 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000016% Iteration: 38,000,000. Elapsed: 3 minutes, 15.102 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000016% Iteration: 39,000,000. Elapsed: 3 minutes, 20.098 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000016% Iteration: 40,000,000. Elapsed: 3 minutes, 25.051 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000017% Iteration: 41,000,000. Elapsed: 3 minutes, 30.066 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000017% Iteration: 42,000,000. Elapsed: 3 minutes, 35.083 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000018% Iteration: 43,000,000. Elapsed: 3 minutes, 40.168 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000018% Iteration: 44,000,000. Elapsed: 3 minutes, 45.318 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000018% Iteration: 45,000,000. Elapsed: 3 minutes, 50.436 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000019% Iteration: 46,000,000. Elapsed: 3 minutes, 55.558 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000019% Iteration: 47,000,000. Elapsed: 4 minutes, 0.633 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000020% Iteration: 48,000,000. Elapsed: 4 minutes, 5.738 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
