:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Thu Nov 05 13:29:27 MST 2015
This is week number 9
Working with 18 remaining teams.  6,402,373,705,728,000 permutations.
0.0000000156% Iteration: 1,000,000. Elapsed: 6.795 seconds Best pick: nfl.Pick(iteration:699345, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, HOU, JAX, TEN, NYJ, SF, MIA, STL, OAK, PHI, IND, PIT], total:937.5)
0.0000000312% Iteration: 2,000,000. Elapsed: 11.155 seconds Best pick: nfl.Pick(iteration:1062225, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, HOU, MIA, TEN, NYJ, SF, JAX, STL, OAK, PHI, IND, PIT], total:937.0)
0.0000000469% Iteration: 3,000,000. Elapsed: 15.305 seconds Best pick: nfl.Pick(iteration:1062225, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, HOU, MIA, TEN, NYJ, SF, JAX, STL, OAK, PHI, IND, PIT], total:937.0)
0.0000000625% Iteration: 4,000,000. Elapsed: 19.809 seconds Best pick: nfl.Pick(iteration:1062225, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, HOU, MIA, TEN, NYJ, SF, JAX, STL, OAK, PHI, IND, PIT], total:937.0)
0.0000000781% Iteration: 5,000,000. Elapsed: 23.909 seconds Best pick: nfl.Pick(iteration:4691025, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, IND, MIA, TEN, NYJ, SF, JAX, STL, OAK, PHI, HOU, PIT], total:935.5)
0.0000000937% Iteration: 6,000,000. Elapsed: 28.080 seconds Best pick: nfl.Pick(iteration:4691025, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, IND, MIA, TEN, NYJ, SF, JAX, STL, OAK, PHI, HOU, PIT], total:935.5)
0.0000001093% Iteration: 7,000,000. Elapsed: 32.528 seconds Best pick: nfl.Pick(iteration:4691025, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, IND, MIA, TEN, NYJ, SF, JAX, STL, OAK, PHI, HOU, PIT], total:935.5)
0.0000001250% Iteration: 8,000,000. Elapsed: 36.985 seconds Best pick: nfl.Pick(iteration:4691025, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, IND, MIA, TEN, NYJ, SF, JAX, STL, OAK, PHI, HOU, PIT], total:935.5)
0.0000001406% Iteration: 9,000,000. Elapsed: 41.701 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000001562% Iteration: 10,000,000. Elapsed: 46.724 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000001718% Iteration: 11,000,000. Elapsed: 51.376 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000001874% Iteration: 12,000,000. Elapsed: 55.996 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000002030% Iteration: 13,000,000. Elapsed: 1 minutes, 0.548 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000002187% Iteration: 14,000,000. Elapsed: 1 minutes, 5.042 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000002343% Iteration: 15,000,000. Elapsed: 1 minutes, 9.590 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000002499% Iteration: 16,000,000. Elapsed: 1 minutes, 14.212 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000002655% Iteration: 17,000,000. Elapsed: 1 minutes, 18.721 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000002811% Iteration: 18,000,000. Elapsed: 1 minutes, 23.257 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000002968% Iteration: 19,000,000. Elapsed: 1 minutes, 27.781 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000003124% Iteration: 20,000,000. Elapsed: 1 minutes, 32.234 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000003280% Iteration: 21,000,000. Elapsed: 1 minutes, 36.860 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000003436% Iteration: 22,000,000. Elapsed: 1 minutes, 41.490 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000003592% Iteration: 23,000,000. Elapsed: 1 minutes, 46.142 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000003749% Iteration: 24,000,000. Elapsed: 1 minutes, 50.679 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000003905% Iteration: 25,000,000. Elapsed: 1 minutes, 55.192 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000004061% Iteration: 26,000,000. Elapsed: 1 minutes, 59.659 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000004217% Iteration: 27,000,000. Elapsed: 2 minutes, 4.150 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000004373% Iteration: 28,000,000. Elapsed: 2 minutes, 8.638 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
