:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Thu Oct 08 14:10:15 MDT 2015
This is week number 5
Working with 26 remaining teams.  403,291,461,126,605,635,584,000,000 permutations.
0.0000000000% Iteration: 1,000,000. Elapsed: 9.575 seconds Best pick: nfl.Pick(iteration:654577, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, MIA, NYG, TEN, NYJ, WAS, MIN, STL, OAK, PHI, PIT, SF], total:1953.5)
0.0000000000% Iteration: 2,000,000. Elapsed: 16.077 seconds Best pick: nfl.Pick(iteration:654577, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, MIA, NYG, TEN, NYJ, WAS, MIN, STL, OAK, PHI, PIT, SF], total:1953.5)
0.0000000000% Iteration: 3,000,000. Elapsed: 22.657 seconds Best pick: nfl.Pick(iteration:2474025, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, MIA, SF, TEN, NYJ, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1951.0)
0.0000000000% Iteration: 4,000,000. Elapsed: 28.955 seconds Best pick: nfl.Pick(iteration:2474025, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, MIA, SF, TEN, NYJ, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1951.0)
0.0000000000% Iteration: 5,000,000. Elapsed: 35.461 seconds Best pick: nfl.Pick(iteration:2474025, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, MIA, SF, TEN, NYJ, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1951.0)
0.0000000000% Iteration: 6,000,000. Elapsed: 42.013 seconds Best pick: nfl.Pick(iteration:2474025, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, MIA, SF, TEN, NYJ, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1951.0)
0.0000000000% Iteration: 7,000,000. Elapsed: 48.139 seconds Best pick: nfl.Pick(iteration:2474025, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, MIA, SF, TEN, NYJ, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1951.0)
0.0000000000% Iteration: 8,000,000. Elapsed: 54.482 seconds Best pick: nfl.Pick(iteration:2474025, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, MIA, SF, TEN, NYJ, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1951.0)
0.0000000000% Iteration: 9,000,000. Elapsed: 1 minutes, 0.732 seconds Best pick: nfl.Pick(iteration:2474025, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, MIA, SF, TEN, NYJ, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1951.0)
0.0000000000% Iteration: 10,000,000. Elapsed: 1 minutes, 7.099 seconds Best pick: nfl.Pick(iteration:2474025, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, MIA, SF, TEN, NYJ, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1951.0)
0.0000000000% Iteration: 11,000,000. Elapsed: 1 minutes, 13.480 seconds Best pick: nfl.Pick(iteration:10991603, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, OAK, SF, WAS, MIN, STL, PHI, TEN, NYG, PIT], total:1947.5)
0.0000000000% Iteration: 12,000,000. Elapsed: 1 minutes, 19.877 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 13,000,000. Elapsed: 1 minutes, 26.134 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 14,000,000. Elapsed: 1 minutes, 32.312 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 15,000,000. Elapsed: 1 minutes, 38.414 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 16,000,000. Elapsed: 1 minutes, 44.605 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 17,000,000. Elapsed: 1 minutes, 50.832 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 18,000,000. Elapsed: 1 minutes, 57.485 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 19,000,000. Elapsed: 2 minutes, 3.925 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 20,000,000. Elapsed: 2 minutes, 10.039 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 21,000,000. Elapsed: 2 minutes, 16.446 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 22,000,000. Elapsed: 2 minutes, 22.962 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 23,000,000. Elapsed: 2 minutes, 29.099 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 24,000,000. Elapsed: 2 minutes, 35.281 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 25,000,000. Elapsed: 2 minutes, 41.451 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 26,000,000. Elapsed: 2 minutes, 47.618 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 27,000,000. Elapsed: 2 minutes, 53.804 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 28,000,000. Elapsed: 2 minutes, 59.890 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 29,000,000. Elapsed: 3 minutes, 6.058 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 30,000,000. Elapsed: 3 minutes, 12.070 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 31,000,000. Elapsed: 3 minutes, 18.082 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 32,000,000. Elapsed: 3 minutes, 24.169 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 33,000,000. Elapsed: 3 minutes, 30.334 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 34,000,000. Elapsed: 3 minutes, 36.344 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 35,000,000. Elapsed: 3 minutes, 42.519 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 36,000,000. Elapsed: 3 minutes, 48.697 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 37,000,000. Elapsed: 3 minutes, 54.754 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 38,000,000. Elapsed: 4 minutes, 0.876 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 39,000,000. Elapsed: 4 minutes, 6.924 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 40,000,000. Elapsed: 4 minutes, 13.332 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 41,000,000. Elapsed: 4 minutes, 19.826 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 42,000,000. Elapsed: 4 minutes, 26.168 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 43,000,000. Elapsed: 4 minutes, 32.802 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 44,000,000. Elapsed: 4 minutes, 38.928 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 45,000,000. Elapsed: 4 minutes, 45.316 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 46,000,000. Elapsed: 4 minutes, 51.730 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 47,000,000. Elapsed: 4 minutes, 58.103 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 48,000,000. Elapsed: 5 minutes, 4.511 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 49,000,000. Elapsed: 5 minutes, 10.791 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 50,000,000. Elapsed: 5 minutes, 17.104 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 51,000,000. Elapsed: 5 minutes, 23.542 seconds Best pick: nfl.Pick(iteration:11198265, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, KC, NYJ, MIA, TEN, SF, WAS, MIN, STL, OAK, PHI, NYG, PIT], total:1945.0)
0.0000000000% Iteration: 52,000,000. Elapsed: 5 minutes, 29.865 seconds Best pick: nfl.Pick(iteration:51840939, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, JAX, MIA, NYJ, NYG, TEN, SF, WAS, MIN, STL, KC, PHI, OAK, PIT], total:1944.5)
